case_id,domain,case_type,narrative_length,extraction_field_accuracy,medication_precision,medication_recall,medication_f1,gt_rules,predicted_rules,rule_precision,rule_recall,rule_f1,rule_tp,rule_fp,rule_fn,exact_rule_match,rag_hit_at_1,rag_hit_at_3,rag_hit_at_5,rag_precision_at_1,rag_precision_at_3,rag_precision_at_5,rag_mrr,rag_avg_similarity,rag_keyword_coverage,rag_retrieved_count
HUM_001,diabetes_kidney,safety_critical,192,0.9091,1.0,1.0,1.0,"['R001', 'R004', 'R005', 'R006', 'R007', 'R008', 'R050']","['R001', 'R004', 'R005', 'R006', 'R007', 'R008', 'R050']",1.0,1.0,1.0,7,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.8243,0.8,5
HUM_002,kidney_electrolytes,drug_safety,139,1.0,1.0,1.0,1.0,"['R007', 'R008', 'R010']","['R007', 'R008', 'R010']",1.0,1.0,1.0,3,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.7857,0.8,5
HUM_003,kidney_cardiac,drug_interaction,179,0.85,1.0,1.0,1.0,"['R007', 'R008', 'R038']","['R007', 'R038']",1.0,0.6667,0.8,2,0,1,False,1,1,1,1.0,1.0,0.8,1.0,0.7266,0.6,5
HUM_004,diabetes_kidney,treatment_recommendation,163,0.85,1.0,1.0,1.0,"['R004', 'R006', 'R007', 'R008', 'R009']","['R007', 'R008', 'R009']",1.0,0.6,0.75,3,0,2,False,1,1,1,1.0,1.0,1.0,1.0,0.783,0.8,5
HUM_005,cardiac,treatment_recommendation,176,0.8947,1.0,1.0,1.0,['R038'],['R038'],1.0,1.0,1.0,1,0,0,True,0,1,1,0.0,0.6667,0.4,0.5,0.7523,0.25,5
HUM_006,hypertension_diabetes,diagnosis,159,0.7619,1.0,1.0,1.0,"['R006', 'R022', 'R023']",['R006'],1.0,0.3333,0.5,1,0,2,False,1,1,1,1.0,1.0,1.0,1.0,0.738,0.8,5
HUM_007,cardiac_electrolytes,safety_monitoring,138,0.9474,1.0,1.0,1.0,"['R007', 'R008', 'R013', 'R017']","['R007', 'R008', 'R013', 'R017']",1.0,1.0,1.0,4,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.8047,0.8,5
HUM_008,diabetes_lipids,treatment_recommendation,159,0.85,1.0,1.0,1.0,"['R006', 'R026', 'R027', 'R031']","['R006', 'R026', 'R027', 'R031']",1.0,1.0,1.0,4,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.8041,1.0,5
HUM_009,geriatrics,coverage_gap,174,0.9444,1.0,1.0,1.0,['R008'],['R008'],1.0,1.0,1.0,1,0,0,True,1,1,1,1.0,1.0,0.8,1.0,0.6432,0.6,5
HUM_010,pulmonology,coverage_gap,159,0.8947,0.0,0.0,0.0,[],[],1.0,1.0,1.0,0,0,0,True,1,1,1,1.0,0.3333,0.4,1.0,0.6521,0.4,5
HUM_011,cardiac,diagnosis,158,0.85,1.0,1.0,1.0,['R024'],['R024'],1.0,1.0,1.0,1,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.7343,0.4,5
HUM_012,diabetes,negative,130,0.8947,0.0,1.0,0.0,['R006'],"['R004', 'R006', 'R007']",0.3333,1.0,0.5,1,2,0,False,1,1,1,1.0,1.0,1.0,1.0,0.7351,1.0,5
HUM_013,cardiology_lipids,treatment_recommendation,165,0.8947,1.0,1.0,1.0,['R028'],['R028'],1.0,1.0,1.0,1,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.798,0.8,5
HUM_014,diabetes_kidney,safety_critical,171,0.8,1.0,1.0,1.0,"['R001', 'R005', 'R006', 'R007', 'R008', 'R050']","['R001', 'R007', 'R008', 'R050']",1.0,0.6667,0.8,4,0,2,False,1,1,1,1.0,1.0,1.0,1.0,0.8228,0.8,5
HUM_015,kidney,multi_rule,155,0.7727,1.0,1.0,1.0,"['R004', 'R006', 'R007', 'R008', 'R010', 'R018', 'R019', 'R022']","['R007', 'R008', 'R010']",1.0,0.375,0.5455,3,0,5,False,1,1,1,1.0,1.0,1.0,1.0,0.8011,0.6667,5
HUM_016,general,negative,109,0.9048,1.0,1.0,1.0,['R025'],['R025'],1.0,1.0,1.0,1,0,0,True,0,0,0,0.0,0.0,0.0,0.0,0.6845,0.0,5
HUM_017,cardiac,multi_rule,130,0.9524,1.0,1.0,1.0,"['R008', 'R020', 'R021', 'R040']","['R008', 'R020', 'R021', 'R040']",1.0,1.0,1.0,4,0,0,True,1,1,1,1.0,1.0,0.8,1.0,0.7857,0.5,5
HUM_018,diabetes_kidney,multi_rule,171,0.8571,0.3333,1.0,0.5,"['R002', 'R004', 'R005', 'R006', 'R007', 'R008', 'R009', 'R050']","['R001', 'R004', 'R005', 'R006', 'R007', 'R008', 'R009', 'R050']",0.875,0.875,0.875,7,1,1,False,1,1,1,1.0,1.0,1.0,1.0,0.803,1.0,5
HUM_019,anticoagulation,coverage_gap,144,0.9444,1.0,1.0,1.0,['R008'],['R008'],1.0,1.0,1.0,1,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.714,0.6,5
HUM_020,hypertension,diagnosis,150,0.75,1.0,1.0,1.0,"['R020', 'R021']",['R007'],0.0,0.0,0.0,0,1,2,False,1,1,1,1.0,1.0,1.0,1.0,0.711,0.8,5
HUM_021,hypertension_diabetes,multi_rule,141,0.8636,1.0,1.0,1.0,"['R006', 'R010', 'R022', 'R023']","['R006', 'R010', 'R022', 'R023']",1.0,1.0,1.0,4,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.7832,1.0,5
HUM_022,kidney,drug_safety,152,0.8947,1.0,1.0,1.0,"['R007', 'R008']","['R007', 'R008']",1.0,1.0,1.0,2,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.7792,0.4,5
HUM_023,diabetes_kidney,treatment_recommendation,162,0.95,1.0,1.0,1.0,"['R004', 'R006', 'R007', 'R008', 'R010']","['R004', 'R006', 'R007', 'R008', 'R010']",1.0,1.0,1.0,5,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.8395,0.8,5
HUM_024,cardiac_kidney,multi_rule,160,0.95,1.0,1.0,1.0,"['R007', 'R008', 'R038']","['R007', 'R008', 'R038']",1.0,1.0,1.0,3,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.7645,0.8,5
HUM_025,general,negative,96,0.9524,1.0,1.0,1.0,['R025'],['R025'],1.0,1.0,1.0,1,0,0,True,0,1,1,0.0,0.3333,0.2,0.5,0.6847,0.3333,5
HUM_026,pulmonology,coverage_gap,169,0.8421,1.0,1.0,1.0,[],[],1.0,1.0,1.0,0,0,0,True,1,1,1,1.0,0.3333,0.4,1.0,0.6405,0.2,5
HUM_027,cardiology_lipids,treatment_recommendation,177,0.8947,1.0,1.0,1.0,['R028'],['R028'],1.0,1.0,1.0,1,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.8101,0.8,5
HUM_028,cardiac_electrolytes,coverage_gap,149,0.85,1.0,1.0,1.0,['R008'],['R008'],1.0,1.0,1.0,1,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.7048,0.4,5
HUM_029,diabetes,negative,114,0.9091,0.5,0.5,0.5,['R025'],['R025'],1.0,1.0,1.0,1,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.744,1.0,5
HUM_030,multi_domain,multi_rule,172,0.8636,1.0,1.0,1.0,"['R001', 'R004', 'R005', 'R006', 'R007', 'R008', 'R009', 'R038', 'R050']","['R001', 'R004', 'R005', 'R006', 'R007', 'R008', 'R009', 'R038', 'R050']",1.0,1.0,1.0,9,0,0,True,1,1,1,1.0,1.0,1.0,1.0,0.7757,0.8333,5
