case_id,domain,hit_at_1,hit_at_3,hit_at_5,precision_at_1,precision_at_3,precision_at_5,mrr,avg_similarity,keyword_coverage
HUM_001,diabetes_kidney,1,1,1,1.0,1.0,1.0,1.0,0.8243,0.8
HUM_002,kidney_electrolytes,1,1,1,1.0,1.0,1.0,1.0,0.7857,0.8
HUM_003,kidney_cardiac,1,1,1,1.0,1.0,0.8,1.0,0.7266,0.6
HUM_004,diabetes_kidney,1,1,1,1.0,1.0,1.0,1.0,0.783,0.8
HUM_005,cardiac,0,1,1,0.0,0.6667,0.4,0.5,0.7523,0.25
HUM_006,hypertension_diabetes,1,1,1,1.0,1.0,1.0,1.0,0.738,0.8
HUM_007,cardiac_electrolytes,1,1,1,1.0,1.0,1.0,1.0,0.8047,0.8
HUM_008,diabetes_lipids,1,1,1,1.0,1.0,1.0,1.0,0.8041,1.0
HUM_009,geriatrics,1,1,1,1.0,1.0,0.8,1.0,0.6432,0.6
HUM_010,pulmonology,1,1,1,1.0,0.3333,0.4,1.0,0.6521,0.4
HUM_011,cardiac,1,1,1,1.0,1.0,1.0,1.0,0.7343,0.4
HUM_012,diabetes,1,1,1,1.0,1.0,1.0,1.0,0.7351,1.0
HUM_013,cardiology_lipids,1,1,1,1.0,1.0,1.0,1.0,0.798,0.8
HUM_014,diabetes_kidney,1,1,1,1.0,1.0,1.0,1.0,0.8228,0.8
HUM_015,kidney,1,1,1,1.0,1.0,1.0,1.0,0.8011,0.6667
HUM_016,general,0,0,0,0.0,0.0,0.0,0.0,0.6845,0.0
HUM_017,cardiac,1,1,1,1.0,1.0,0.8,1.0,0.7857,0.5
HUM_018,diabetes_kidney,1,1,1,1.0,1.0,1.0,1.0,0.803,1.0
HUM_019,anticoagulation,1,1,1,1.0,1.0,1.0,1.0,0.714,0.6
HUM_020,hypertension,1,1,1,1.0,1.0,1.0,1.0,0.711,0.8
HUM_021,hypertension_diabetes,1,1,1,1.0,1.0,1.0,1.0,0.7832,1.0
HUM_022,kidney,1,1,1,1.0,1.0,1.0,1.0,0.7792,0.4
HUM_023,diabetes_kidney,1,1,1,1.0,1.0,1.0,1.0,0.8395,0.8
HUM_024,cardiac_kidney,1,1,1,1.0,1.0,1.0,1.0,0.7645,0.8
HUM_025,general,0,1,1,0.0,0.3333,0.2,0.5,0.6847,0.3333
HUM_026,pulmonology,1,1,1,1.0,0.3333,0.4,1.0,0.6405,0.2
HUM_027,cardiology_lipids,1,1,1,1.0,1.0,1.0,1.0,0.8101,0.8
HUM_028,cardiac_electrolytes,1,1,1,1.0,1.0,1.0,1.0,0.7048,0.4
HUM_029,diabetes,1,1,1,1.0,1.0,1.0,1.0,0.744,1.0
HUM_030,multi_domain,1,1,1,1.0,1.0,1.0,1.0,0.7757,0.8333
