rule_id,rule_name,support,true_positives,false_positives,false_negatives,precision,recall,f1_score
R001,metformin_severe_ckd,27,27,0,0,1.0,1.0,1.0
R002,metformin_do_not_initiate_low_egfr,5,5,0,0,1.0,1.0,1.0
R003,metformin_reassess_egfr_30_44,4,4,0,0,1.0,1.0,1.0
R004,sglt2_ckd_eligible,28,28,0,0,1.0,1.0,1.0
R005,advanced_ckd_glp1_preferred,30,30,0,0,1.0,1.0,1.0
R006,annual_kidney_screening_t2d,65,65,0,0,1.0,1.0,1.0
R007,ckd_monitoring_1_4_times,55,55,0,0,1.0,1.0,1.0
R008,ckd_complication_screening,92,92,0,0,1.0,1.0,1.0
R009,severe_albuminuria,54,54,0,0,1.0,1.0,1.0
R010,moderate_albuminuria,4,4,0,0,1.0,1.0,1.0
R011,ace_arb_monitoring_low_egfr,27,27,0,0,1.0,1.0,1.0
R012,arb_monitoring_low_egfr,25,25,0,0,1.0,1.0,1.0
R013,mra_monitoring_low_egfr,25,25,0,0,1.0,1.0,1.0
R014,diuretic_hypokalemia_monitoring,26,26,0,0,1.0,1.0,1.0
R015,ace_arb_potassium_elevated,27,27,0,0,1.0,1.0,1.0
R016,arb_potassium_elevated,25,25,0,0,1.0,1.0,1.0
R017,mra_potassium_elevated,25,25,0,0,1.0,1.0,1.0
R018,ckd_bp_above_130_80,50,50,0,0,1.0,1.0,1.0
R019,ckd_dbp_above_80,50,50,0,0,1.0,1.0,1.0
R020,stage1_hypertension_sbp,29,29,0,0,1.0,1.0,1.0
R021,stage1_hypertension_dbp,30,30,0,0,1.0,1.0,1.0
R022,stage2_hypertension_sbp,129,129,0,0,1.0,1.0,1.0
R023,stage2_hypertension_dbp,128,128,0,0,1.0,1.0,1.0
R024,elevated_bp_systolic,32,32,0,0,1.0,1.0,1.0
R025,normal_bp,27,27,0,0,1.0,1.0,1.0
R026,diabetes_age_40_75_ldl70_statin,21,21,0,0,1.0,1.0,1.0
R027,severe_hypercholesterolemia,28,28,0,0,1.0,1.0,1.0
R028,ascvd_high_ldl,0,0,0,0,1.0,1.0,1.0
R029,lipid_recheck_after_statin,0,0,0,0,1.0,1.0,1.0
R030,primary_prevention_age40_75_risk_discussion,17,17,0,0,1.0,1.0,1.0
R031,ldl_high_risk_enhancer,33,33,0,0,1.0,1.0,1.0
R032,triglyceride_risk_enhancer,29,29,0,0,1.0,1.0,1.0
R033,cac_zero_withhold_statins_no_diabetes,2,2,0,0,1.0,1.0,1.0
R034,cac_1_99_age55,3,3,0,0,1.0,1.0,1.0
R035,cac_100,0,0,0,0,1.0,1.0,1.0
R036,hfrEF_sglt2,25,25,0,0,1.0,1.0,1.0
R037,hfrEF_arni_rasi,25,25,0,0,1.0,1.0,1.0
R038,hfrEF_beta_blocker,27,27,0,0,1.0,1.0,1.0
R039,hfmrEF_sglt2,5,5,0,0,1.0,1.0,1.0
R040,hfpeF_sglt2,3,3,0,0,1.0,1.0,1.0
R041,hfimpEF_continue_gdmt,0,0,0,0,1.0,1.0,1.0
R042,ccd_statin_first_line,25,25,0,0,1.0,1.0,1.0
R043,ccd_beta_blocker_not_routine,0,0,0,0,1.0,1.0,1.0
R044,ccd_first_line_antianginal,25,25,0,0,1.0,1.0,1.0
R045,primary_prevention_aspirin_infrequent,0,0,0,0,1.0,1.0,1.0
R046,sglt2_volume_depletion_risk,25,25,0,0,1.0,1.0,1.0
R047,sglt2_loop_diuretic_risk,25,25,0,0,1.0,1.0,1.0
R048,sglt2_acute_illness_ketoacidosis_review,0,0,0,0,1.0,1.0,1.0
R049,ckd_nephrotoxin_review,25,25,0,0,1.0,1.0,1.0
R050,advanced_ckd_nephrology_referral,57,57,0,0,1.0,1.0,1.0
